Chinese,English
野獸,Beast
都給,Be given
傳說,legend
車裡,In the car
蛮,quite
火箭,Rocket
ǒ,osshao
ニ,Bleak
梅,plum
經營,Operate
雪,Snow
永不,Never
首歌,Song
姓,surname
餵,Hey
強尼,Qiangni
很久以前,"long, long ago"
自私,Selfish
з,bleak
一頭,One
欺負,Bully
競選,Campaign
一向,Always
棒極,great
莫斯科,Moscow
不妙,Not good
一陣子,for a while
她們,they
完整,whole
一號,Number one
人士,person
寶寶,Baby
三次,three times
伯爵,count
掌控,Control
這把,This
苦,bitter
還有別,Different
鯊魚,shark
開會,Meet
修理,repair
猠,Bleak
有權,Have power
有件事,Something
違反,violation
開著,Open
抵達,arrival
摔,fall
堕,fall
形容,describe
屬于,belong
出什麼,What
于是,then
俠,Chivalrous
問我,ask me
裕,Overwhelming
保,Save
善良,Kind
區別,the difference
不願,Unwilling
猜猜,Guess
玦,Bleak
找回,Recover
那為,That for
嘲笑,laugh at
好樣,nice one
罖,Bleak
伯特,Better
心靈,soul
小鎮,Town
崩,collapse
四處,around
報仇,revenge
筐,basket
忌,avoid
這項,this
肞,Bleak
嫌犯,Suspect
熬,boil
浴室,bathroom
法語,French
裝備,equipment
下場,End
牌,Card
璊,Bleak
暴露,Expose
冰,ice
表面,surface
俄羅斯,Russia
溃,Collapse
紀念,commemorate
貸款,loan
證實,Confirm
我操,Fuck
失控,out of control
出席,Attend
採訪,Interview
新來,New coming
就夠,Enough
殺案,Kill
戮,kill
旅程,journey
散步,walk
开始,start
大叔,Uncle
沒想,Not thinking
嫁,marry
射擊,shooting
企業,enterprise
患者,patient
中情局,Central Love Bureau
鏡頭,Lens
不是故意,Not on purpose
知識,Knowledge
史密斯,Smith
跟我走,Come with me
攫,grab
敲,knock
心跳,Heartbeat
溫柔,gentle
玫瑰,Rose
敏感,sensitive
火星,Mars
块,piece
不願意,Unwilling
舔,lick
貝絲,Beefly
基本上,basically
釘,nail
何要,How
te,TE
校長,headmaster
当,when
shit,shit
歌手,singer
瑞秋,Ruiqiu
澈,Clear
old,OLD
doesn,doesn
當年,then
未知,unknown
具體,specific
操作,operate
分離,Separate
眃,side room
幹活,Work
桌上,Table
漢娜,Hannah
í,í
安慰,comfort
太快,Too fast
蝗,locust
一致,Consistent
dad,DAD
入口,Entrance
瞄準,aim
雇,hire
哪位,Which one
飯店,restaurant
門口,Entrance
那輛,That car
懦夫,coward
支付,Pay
即便,even if
凱莉,Kelly
深呼吸,Deep breath
全體,Whole
做得好,well done
我怕,I'm afraid
絕望,despair
宣,Proclaim
電梯,elevator
羙,Bleak
這群,This group
阿拉,Allah
紅,red
公民,citizen
逮到,Arrest
冰淇淋,ice cream
曼,Man
leave,leave
波,Wave
攝,Take
國會,Parliament
顧客,customer
巴士,Bus
原則,in principle
一筆,One stroke
得了吧,Come on
自豪,pride
应该,should
甁,Bleak
廢物,waste
夫妻,couple
基因,Gene
劑,Dose
學院,College
合理,Reasonable
合,combine
爆,burst
白天,daytime
巴克,Barc
冰箱,refrigerator
公共,public
篴,flute
抓到,Catch
你問,You ask
個小時,Hours
下令,Order
谢谢,thanks
great,Great
u,U
皆,all
熟,Cooked
這可,This
天天,day by day
瑟夫,Thoroughly
雨,rain
大門,door
洛克,Locke
進步,progress
對于,for
誒,Eh
蘇,Sovereign
篈,Bleak
博物,Museum
快過,Pass
競爭,compete
頭發,hair
霍華德,Howard
法院,Court
肖恩,Sharne
油,Oil
北方,north
物理,physics
哪怕,Even
八,Eight
身為,Be
市民,Citizen
侮辱,insult
度假,Vacation
帶給,Give
一家人,family
耑,Bleak
趕到,Rush
罪行,offense
毫無,None
癟,deflated
kill,kill
交出,hand over
很小,Very small
won,win
寶貝兒,Baby
嚇壞,Scare
第一天,first day
同情,pity
抵抗,resistance
girl,girl
在場,Be present
合同,contract
什麼關,What
董事,director
般的,ish
聖經,Bible
主義者,Activists
縫,Sewing
繞,Go around
穐,Bleak
戰斗,fighting
要不然,otherwise
渤,Bo
碝,Bleak
hi,Hi
下降,decline
納粹,Nazi
人口,population
废,Abandon
緑,green
誠實,honest
遭遇,encounter
滴,drop
艾比,Aby
厭倦,Bored
幸好,fortunately
故障,Fault
投入,Invest
以上,above
打電話給,call
沃爾特,Walter
沒想過,have not thought
might,might
花園,garden
隧道,tunnel
胳膊,arm
午夜,midnight
被困,Be trapped
格林,Grid
人犯,Criminal
形象,Image
單位,unit
以外,outside
市長,mayor
死刑,death penalty
father,father
东西,thing
刚刚,just
薪水,salary
康,Be eliminated
不合,Disagreement
芙,Pavilion
自動,automatic
喝杯,Drink a cup
鎮上,Town
白痴,idiot
讀過,Read
頭腦,mind
伴,Accompany
罷了,Stop
氟,fluorine
我願意,I am willing
頭上,On the head
癸盾,Shield
覺,Sleep
上帝保佑,God bless
臫,Bleak
很久,long time
嗑,Spicit
證,certificate
爽,Cool
崩潰,collapse
有名,famous
吸,Suck
own,OWN
兇,fierce
翅膀,wing
鍾,bell
方案,Program
閃,flash
錢給,Money
對象,Object
注射,injection
逃出,Escape
打中,Hit
決心,determination
背景,background
将,Will
不爽,accurate
半小時,half an hour
呵呵,Ha ha
期,Expect
拜訪,visit
不關,Not
王后,queen
孤單,alone
全新,brand new
绑,tie
醉,drunk
統治,rule
册,book
癮,addiction
材料,Material
傻子,Fool
從頭,From the beginning
峨,Emit
起碼,at least
想問,Want to ask
強壯,strong
千萬,Tens of millions
害羞,shy
借過,Excuse me
臭小子,Stinky boy
樓梯,stairs
enough,enough
公爵,Duke
地位,status
愛德華,Edward
襯衫,shirt
毫不,Not
ご,Bleak
第二天,the next day
醫師,Physician
忘掉,forget
白宮,White House
顧問,consultant
賈,Shot
認得,Recognize
et,ET
卑鄙,mean
成人,aldult
祝賀,congratulate
警衛,Guardian
表達,Express
第五,fifth
社區,Community
big,big
探索,explore
我見過,I have seen
傣,Daemon
攪,stir
貴,expensive
王國,kingdom
痕跡,trace
扶,help
挂,hang
難怪,No wonder
居民,resident
手套,Gloves
資金,funds
its,ITS
撤離,Evacuate
别,do not
撒,spread
飛行員,pilot
碼,code
口,mouth
每一個,Every
dead,dead
開個,Open
les,LES
代,generation
是給,Give
lee,Lee
逃離,get away
兼續,Both
海盜,pirate
葬禮,funeral
臥室,bedroom
问题,question
接電話,Answer the phone
希特勒,Hitler
andy,Andy
有別,Difference
無能,inability
收回,Recover
此時,at this time
another,another
推薦,recommend
搞清楚,Make clear
等一等,Wait
師傅,master
提高,improve
我贏,I win
答,answer
來給,Come to
階段,stage
作出,Make
煩惱,trouble
心意,Mind
紀錄,Record
迅速,fast
爺,Master
礩,Bleak
職位,Position
流行,Popularity
方,square
強迫,force
查克,Chuck
噩夢,Nightmare
稱呼,call
david,david
心里,Heart
left,left
代替,replace
具有,have
一样,Same
理智,reason
人影,Figure
喉嚨,Throat
限制,limit
一道,One by one
採取,take
網站,website
第四,fourth
式,Mode
一夜,One night
騷擾,Harass
面試,interview
钮弧,Button arc
賭場,casino
廠,factory
框,frame
直覺,intuition
真有,Real
hello,hello
玉米,corn
羬,Bleak
殘忍,cruel
秤,scales
打倒,Knock down
老媽,Mother
公,male
咋,Exactly
唐,Tang Dynasty
團結,Unite
胸部,Chest
綾,Paddy
範圍,scope
捉,catch
较,Compare
請別,Please do not
真該,Deserved
加拿大,Canada
幾分鐘,Several minutes
胡扯,Bleak
武士,warrior
制造,manufacture
瞞,conceal
還行,good
溫暖,warmth
大道,Avenue
投,cast
載,load
我会,I can
可別,Don't
可疑,suspicious
丟臉,Shame
愛麗絲,Alice
光明,bright
季,season
ce,CE
沮喪,Frustration
漢堡,Hamburger
尋求,seek
幾句,A few words
視,See
胖,fat
暗示,hint
小屋,cabin
成立,Establish
然後就,then
這一,This
最快,Fastest
一艘,One
太遲,Too late
過分,Excessive
練,practice
坝,dam
救援,Rescue
same,same
狾,Bleak
抹,wipe
聞,smell
那家伙,That rascal
鋪,shop
克萊爾,Claire
还是,still
至今,to date
艙,cabin
得分,Score
蜘蛛,spider
聯合,joint
濕,wet
一共,Together
言,Word
僅供,Only for
去給,Go to
街頭,street
璓,Bleak
福爾,Form
產品,product
換個,Change
說來,Say
時會,Timely
我敢,I dare
someone,someone
feel,Feel
偷偷,secretly
中午,noon
求婚,Proposal
天上,Heaven
資源,resource
小男孩,little boy
郎,Bonus
紋,Pattern
一晚,one night
獲,Obtain
上路,On the road
狂,mad
在外,outer
鮑比,Bobby
願望,desire
下周,next week
coming,coming
一槍,One shot
哭泣,cry
狗狗,Dog
活下,Survive
色,color
句,sentence
巴比,Bobby
醒來,wake up
唐娜,Donna
數學,math
stay,stay
迷失,Disappointed
玛,Macaron
發瘋,go Ape
屌,Dick
護照,passport
祖父,grandfather
我們還,We also
攀,climb
軌道,track
新人,Newcomer
我的車,my car
廣播,broadcast
傳奇,legend
超越,Surpass
救出,Rescue
碎片,Fragmentation
小事,Trivial matter
悲劇,tragedy
被告,defendant
臨時,temporary
彈,bomb
老爺,master
瘤,tumor
小朋友,kid
華,magnificent
發生過,happened before
嚴格,strict
仔,young
陈,List
杯子,cup
崇拜,worship
艦隊,fleet
秅,Bleak
羊,sheep
米勒,Miller
閣下,Your Mightiness
碼頭,pier
籹,cake
相互,mutual
觉得,feel
信用卡,credit card
九,Nine
基督教,Christianity
奇妙,wonderful
演唱,Sing
西蒙,Simon
believe,believe
驚人,amazing
艾瑪,Emma
那有,there is
且,and
星,star
一副,One
罪名,Crime
縉,Bleak
開過,opened
提過,mentioned
爆發,break out
透露,disclose
伊甸,Eden
跪下,Kneel down
信念,belief
征服,conquer
針對,against
遭受,suffer
許能,Be able to
別亂,Don't mess up
借口,Excuse
策,Policy
す,Bleak
牙,tooth
瑌,Bleak
貝利,Belli
賜,Give
凱蒂,Katie
时间,time
難受,Uncomfortable
毒,poison
八道,Eight
科,division
街道,street
位子,seat
老爹,Dad
類型,type
倒霉,Unlucky
最後一個,the last one
being,Being
加速,accelerate
圖書館,library
吸毒,drug
這本書,This book
幹掉,Kill
反而,instead
弟兄,brother
guy,Guy
cause,cause
航空,aviation
辦到,Do
技巧,Skill
卷,roll
丟,leave
most,most
漢克,Hanke
惡心,nausea
玩玩,Play
骨頭,bone
英國人,British
可靠,reliable
五千,Five thousand
hear,hear
度過,Spend
餐館,Restaurant
起飛,take off
良好,good
格雷,Gray
嘍,Cricket
注定,Be destined
理查德,Richard
使命,mission
伊拉克,Iraq
輪到,Turn
小妞,Chick
做生意,Do business
航班,flight
作業,Operation
ㄉ,ㄉ ˙
經紀,Agent
泰德,Thaide
乃,So
愿,willing
霍,Hasty
美的,beautiful
禱告,prayer
攝影機,camera
傑,Outstanding
負擔,burden
直播,live streaming
給你們,For you guys
等不及,Can't wait
干杯,cheers
地震,earthquake
戴維,David
革命,revolution
一首,a
壁,wall
貓,cat
咱倆,Let's
found,found
錶,surface
丟掉,Throw away
小傢伙,brat
michael,Michael
后來,later
問他,ask him
價格,price
球員,Player
日期,date
得知,Know
宾,Guest
不出,Not out
牙齒,teeth
拨,dial
考驗,test
臥底,Undercover
食品,food
早已,For a long time
max,max
成交,make a deal
內褲,Underwear
出名,famous
非得,Be
錄像,Videos
段,part
交,pay
肌肉,muscle
助手,assistant
村子,Village
宰,slaughter
巴西,Brazil
流浪,Wandering
參與,participate
大戰,War
聚集,Gather
行事,Act
設法,try
舞蹈,dance
快給,Give
light,light
這該,This
感恩,grateful
窗,window
榮耀,glory
郴,Dismiss
溫度,temperature
甃,Bleak
ain,Ain
蛋蛋,Egg
硓,Bleak
哪種,Which one
大伙,Group
糟透了,Boring
畑,Bleak
夏洛克,Sherlock
主管,director
耕,Plow
女神,goddess
逞,Take
fine,fine
彎,bend
再有,also
磝,Bleak
前來,Coming
我見,I see
走向,Move
沒別,No good
不記,Not remember
nancy,nancy
疾,disease
畕,Bleak
沸,Boil
氣氛,atmosphere
蔓,vine
马,horse
亦,as well as
武裝,Armed
絃,string
人手,manpower
小姑娘,Little girl
主義,Doctrine
厚,thick
車禍,Car accident
凍,freeze
達成,Reach
屡,repeatedly
不通,Unprepared
保存,save
哩,Mile
皇家,Royal
干掉,Kill
碙,Bleak
幫個,Help
查看,Check
運作,Operate
高手,Master
障礙,obstacle
類,kind
災難,disaster
半個,Half
你贏,You win
老虎,tiger
脾氣,temper
況,condition
追捕,Pursue
蓟,thistle
杀,kill
指令,instruction
這跟,This
舞台,stage
不曉得,do not know
不僅僅,Not only
kind,kind
山上,On the mountain
好萊塢,Hollywood
例如,E.g
上天,Heaven
超人,Superman
草,Grass
應得,deserve
鹽,Salt
專心,concentrate
形式,form
燃料,fuel
怎會,How
lightman,Lightman
約定,Agreed
皌,Bleak
參觀,visit
神聖,sacred
趕上,catch up
專門,specialized
否認,deny
阀,valve
入,enter
殘酷,cruel
脫離,Leave
迪克,Dick
好痛,it hurts
茎,stem
制作,Make
明年,next year
不快,Unhappy
上升,rise
可不可以,Can
玩得,Play
表,surface
凌晨,Early morning
守,Shou
阿富汗,Afghanistan
